Index,Post,Trans,Label,Type
50001,"**- Почему поехали на Донбасс?
- Чувство невыполненного долга с 2014-го года.

**Врач-травматолог из Нижнего Новгорода объясняет, почему он бросил привычную жизнь и отправился помогать медикам на Донбасс.

https://t.me/positionRUS/1979",,,
50002,"[​](https://telegra.ph/file/e6154490b73921eb8f96a.jpg)**Спалил американскую контору **😱

Замглавы ГУР Украины Вадим Скибицкий [подтвердил](https://www.telegraph.co.uk/world-news/2022/08/01/britain-helps-ukraine-hunt-russian-spies-eyeing-western-military/), что Украина использует данные американской и британской разведки для осуществления ударов по российским военным объектам. Об этом разведчик заявил в интервью британскому изданию «Телеграф». «Что касается военной разведки, Британия и США предоставили почти все — от информации до оборудования», — заявил Скибицкий. В частности, Великобритания, по его словам, предоставляет Украине «ежеминутную информацию всех видов в режиме реального времени». 🤦‍♀️

То, что Украина получает из США и Великобритании разведданные, и так было секретом Полишинеля. Однако публично этот вопрос обходили, ведь это означало бы прямое участие этих стран в войне на стороне Украины. Правда, **формально и войны никакой нет: Россия вообще «проводит спецоперацию», да и Украина себя в состоянии войны с Россией официально не считает.** Иначе как тогда качать «вонючий» российский газ и нефть?

Теперь Скибицкий по сути официально признал: **для наведения американских ракет на российские цели используются данные американской разведки.** Причем, как заявил Скибицкий журналистам «Телеграф», «перед запуском ракет между представителями разведки обеих стран проводились консультации, которые позволили бы Вашингтону остановить любые потенциальные атаки украинцев, если бы там были недовольны намеченной целью». 😜

Ракеты американские, разведданные американские, решения принимаются тоже в США. Украинские военные же просто нажимают кнопки. 🐒 Так что, как я и говорила с самого начала, это не война России с Украиной — это война США с Россией руками украинцев и на украинской территории.

★ [Канал #МОНТЯН!](https://t.me/+KZ9Qi833lHFhNjJi)
­",,,
50003,"‼️🇺🇦🏴‍☠️ **Запад Донецка под жёстким обстрелом: есть раненые и жертвы «Лепестков»
** 
В эти минуты запад и северо-запад Донецка, а именно Кировский, Куйбышевский и Петровский районы находятся под плотным обстрелом противника.
 
К сожалению, обильно разбросанные над Донецком украинскими боевиками мины-лепестки начинают собирать свою кровавую жатву, а ВСУ продолжают сбрасывать новые.

**Подробнее в статье на нашем **[**сайте
**](http://rusvesna.su/news/1659531120) **t.me/rusvesnasu**",,,
50004,"Результаты удара по СТО в Артемовске, где располагался склад боеприпасов. В результате удара и вторичной детонации сообщается о как минимум 5 200х и 3 300х у противника, из них часть иностранцы. На утро 10 человек еще оставались под завалами.",,,
50005,"**Херсон. Применение буксирно-моторных катеров БМК-МО при организации понтонной переправы через Днепр в районе Антоновского моста

**Разработчик проекта катера — Костромской судомеханический завод.

БМК-МО принят на снабжение 23 января 2018 года.",,,
50006,На северо-востоке Сирии прошли демонстрации в честь 8-й годовщины массового убийства боевиками ИГ езидов в Синджаре (Ирак).,,,
50007,"После начала великого Джихада на землях вилаята Хинзир некоторые соевые хайваны попытались совершить хиджру в вилаяты Центральной Азии, но что-то пошло не так. 

Они не смогли совладать даже с пловом, а впереди у многих из них еще освоение древнего обычая бача-бази — с целью заработка.",,,
50008,"⚡️**Украина отзывает своих миротворцев из самопровозглашенного Косово.** 

Речь идёт о Международных силах по поддержанию мира в Косово под руководством НАТО — KFOR, в числе которых также находится 40 военнослужащих украинской армии.

Всего в составе контингента насчитывается 3775 иностранных солдат из 28 государств – преимущественно членов НАТО и их союзников.

@opersvodki",,,
50009,"Трофейный ""Баретт"". На Украину поставлялись с 2015-го в рамках контрактов с компанией ""Баретт Файрармс"", которая завозила на Украину через Болгарию не только сами винтовки, но и боеприпасы и дорогостоящие обвесы.

Дорогая штука. Владелец надо понимать не пережил встречи с ""Отважными"".

https://t.me/RVvoenkor/21906",,,
50010,"‼️🇺🇦🏴‍☠️**УкроСМИ продолжают обвинять ""российских оккупантов"" в поджоге пшеничных полей. Тем временем установки HIMARS

 ****t.me/rusvesnasu**",,,
