Post,ground_truth,prediction,inference_time
"The General Prosecutor's Office of the DNR announced the completion of the investigation into a criminal case against mercenaries from Britain and Morocco, who now face the death penalty. It has been established that Shawn Pinner, Andrew Hill, and Saadun Bragim were involved in combat actions against Donbass.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Severity Scale: No Human Rights Violation Explanation: This post does not address issues involving direct harm to people, damage to civilian structures, coercion, abuse, assault, or executions.There are no instances where individuals are intentionally targeted or subjected to severe physical force.As such, it falls outside our assessment as a human rights violation within",22.54801297187805
"**⚡️Russia shelled Kherson 78 times today**

Fifteen civilians were killed and 35 wounded in the city, including one child.

**⚡️Россия обстреляла Херсон 78 раз за сегодняшний день**

В городе погибли 15 гражданских и 35 ранены, в том числе один ребенок.","Yes, this post describes a human rights violation where civilians are intentionally harmed or killed. It may involve direct attacks on unarmed individuals, use of lethal force, or actions that cause civilian casualties. The central issue is violence directed at non-combatants.","Yes, this post describes a human rights violation where civilians are intentionally harmed or killed. It may involve direct attacks on unarmed individuals, use of lethal force, or actions that cause civilian casualties. The central issue is violence directed at non-combatants. On a scale from 1 to 4, with 1 being minor abuse and 4 representing severe mistreatment, I would rate this as level 2 due to both harm to civilians and potentially coercive measures aimed at intimidation, forced compliance, or extracting information through physical pressure. This reflects significant but less extreme violations than those classified under levels 3 or 4. Please let me know if you need any",22.82114887237549
"**🔴DAILY REPORT WITH KEY NEWS🔴**

**Available on Medium:**

**🇬🇧**[**English**](https://medium.com/p/5f3ee112ee55)
**🇺🇦**[**Ukrainian**](https://medium.com/p/98cd7e4b10e1)
**🇩🇪**[**German**](https://medium.com/p/f6291a7c6248)
**🇫🇷**[**French**](https://medium.com/p/60c3b6b42adf)** **
**🇪🇸**[**Spanish**](https://medium.com/p/58968ec7630f)
**🏳**[**Russian**](https://medium.com/p/2d41e5b52573)** **

**Please share our recap with all of your friends and colleagues**","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Note: The absence of an explanation indicates that the post does not align with the reasons given. Please review the reasons carefully before responding. Severity Scale: 1 - No human rights violation identified 2 – Mild human rights violation involving minor harm to individuals 3 – Moderate human rights violation where abuse occurs but stops short of severe actions 4 –",23.02120876312256
"**🔴DAILY REPORT WITH KEY NEWS🔴**

**Available on Medium:**

**🇬🇧**[**English**](https://medium.com/p/5f3ee112ee55)
**🇺🇦**[**Ukrainian**](https://medium.com/p/98cd7e4b10e1)
**🇩🇪**[**German**](https://medium.com/p/f6291a7c6248)
**🇫🇷**[**French**](https://medium.com/p/60c3b6b42adf)
**🇪🇸**[**Spanish**](https://medium.com/p/58968ec7630f)
**🏳**[**Russian**](https://medium.com/p/2d41e5b52573)

**Please share our recap with all of your friends and colleagues.**","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Note that we are unable to analyze videos without audio descriptions; please provide additional information if necessary.Thank you for using our service!😊 * * * **️Please rate us as helpful so more people can find answers to their questions.* assistant No, this post does not describe any human rights violation committed by government, military, or armed groups.",22.85660600662231
"PL 🤬 UA ""Enough with the begging!""

A Polish person reprimanded an Ukrainian refugee for pestering people and begging for money.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. assistant No, this post does not describe any human rights violation committed by government, military, or armed groups. It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees. The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.",22.51922369003296
"**⚡️Zelenskyy: 15 people were killed in Dnipropetrovsk region, 50 more wounded**

A Russian missile struck the Chaplyne railway station. At the moment, 4 passenger cars are on fire. At least 15 dead and 50 wounded are known at this time.

**⚡️Зеленский: 15 человек погибли в Днепропетровской области, еще 50 ранено**

Российская ракета попала по железнодорожной станции Чаплино. На данный момент 4 пассажирских вагона горят. Известно по меньшей мере о 15 погибших и 50 раненых на данный момент.","Yes, this post describes multiple human rights violations, including both harm to civilians and destruction of civilian property. Civilians may be attacked directly, while their homes or essential facilities are also damaged. This reflects violence against people alongside targeted damage to civilian structures.","Yes, this post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. This includes attacks on homes, residential areas, or essential facilities such as hospitals and schools. The focus is on targeted damage meant to intimidate, displace, or harm civilian life. A severity rating of 3 reflects significant abuse but falls short of direct harm to people. Severity Scale: 1 - No Human Rights Violation 2 - Minor Abuse 3 - Significant Misconduct 4 - Severe Harm or Death Please let me know if you need any further clarification. Thank you for using our service.🤝 [Source](https://t.me/+",22.737887382507324
"Число жертв сегодняшнего обстрела Горловки  выросло до двух человек, ещё четыре получили ранения включая двоих детей.

Также, ВСУ выпустили по городу ракеты с ПФМ-1 «Лепесток». Удары наносились из РСЗО  «Ураган».

Общее число пострадавших мирных жителей от противопехотных мин в ДНР превысило уже 50 человек.

@epoddubny","Yes, this post describes a human rights violation where civilians are intentionally harmed or killed. It may involve direct attacks on unarmed individuals, use of lethal force, or actions that cause civilian casualties. The central issue is violence directed at non-combatants.","Yes, this post describes a human rights violation involving deliberate destruction of civilian property or infrastructure. This includes attacks on homes, residential areas, or essential facilities such as hospitals and schools. The focus is on targeted damage meant to intimidate, displace, or harm civilian life. A severity rating of 3 reflects significant abuse but stops short of direct harm to people. Please see guidance for more details. Guidance: 1 - No violation detected 2 - Minor human rights issue addressed 3 - Significant abuse, excluding direct harm to individuals 4 - Severe violation, including sexual violence, torture, or mass killing Note that ratings reflect both the nature of violations and their repetitive patterns over time",22.80296754837036
"The Chief of the General Staff of the Ukrainian Armed Forces, Zaluzhny, of course, understands everything. He looks at this map and at a portrait of Zelensky.

If there is no order to retreat, the units that will find themselves in the new encirclement will include the 17th Tank Brigade, the 58th Motorized Infantry Brigade, the 111th and 118th Territorial Defense Brigades, the National Battalion ""Donbass"" of the Ukrainian Armed Forces, as well as the 4th, 27th Brigades and the 15th Regiment of the National Guard.

It is already clear that an encirclement will occur, not now but in 10-15 days. And this, of course, is the astonishing ability of the Kyiv regime to kill and capture its own fighters.

Well, the ""Azov"" battalion, get ready! Your fellow fighters from Azov are waiting.

@epoddubny","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Note: A human rights violation involving direct harm to civilians, targeted damage to civilian structures, severe abuse, or systematic mistreatment would receive a response confirming such actions.This includes both government and armed forces' actions, alongside specific examples where applicable.мщено отсутствие критики и наблюдений за совершенными преступ",22.832708597183228
"В Старом Осколе ЯЖЕБАТЯ пришёл в скейт-парк разобраться с парнем, который случайно задел его пездюка самокатом.

По словам очевидцев, великовозрастный подпивас ударил оппонента (это на видео не попала), после чего подросток достал перцовку и залил агрессивного батю, при этом попав и в ребёнка","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Human Rights Violation Scale: No Reason: Neutral Content; Does Not Meet Criteria for Human Rights Violation Within Reasons Provided @epoddubny @sashakots @brussinf_ru #Russia #UkrainianConflict __*Support us: `4377 7278",22.676714658737183
"**Вот как выглядит зона покрытия украинского БПЛА с радиусом в 1000 км по мнению немецкого OSINT-аналитика ""Tender""

**Бавовне быть.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided.","No, this post does not describe any human rights violation committed by government, military, or armed groups.It does not mention harm to civilians, destruction of civilian property, sexual violence, torture, execution, or mistreatment of detainees.The content is neutral and does not meet the criteria for a human rights violation within the reasons provided. Severity Scale: 1 - No Human Rights Violation; 3 - Sexual Violence, Torture, or Execution; 4 - Killing or Injury of Civilians; 5 - Destruction of Civilian Property. Please let me know if you need further clarification.мируйтесь!",22.66964626312256
