Index,Post,Trans,Label,Type
1.0,"Дед Мороз дал новогодних звездюлей пьяной женщине, потому что та себя плохо вела Дама подошла к Деду Морозу и потребовала дать ей подарок, но у того не оказалось подарка. После этого слово за слово и Дед Мороз сорвался на женщину.","Santa Claus gave Christmas stars to a drunken woman, because she behaved badly The lady approached Santa Claus and demanded to give her a gift, but he did not have a gift. After that, word for word and Santa fell on the woman.",Yes,C
2.0,"В Узбекистане учитель отпиздил школьника и выгнал из класса, за то, что тот не смог ответить у доски","In Uzbekistan, a teacher kicked a student out of the classroom because he could not answer at the board",Yes,C
3.0,"Украинская студентка не вывезла спор о Киевской Руси с российским блогером, который преподал урок истории

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Ukrainian student fails to take out dispute over Kievan Rus with Russian blogger who taught history lesson

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
4.0,"Путин поздравил с наступающим Новым годом лидеров Абхазии, Азербайджана, Армении, Белоруссии, Казахстана, Киргизии, Таджикистана, Туркмении, Узбекистана, Южной Осетии, Боливии, Бразилии, Венгрии, Венесуэлы, Вьетнама, Индии, Китая, Кубы, Никарагуа, Сербии, Сирии, Турции, а также Берлускони, Кочаряна, Назарбаева, Саргсяна и Шрёдера

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Putin congratulated on the upcoming New Year the leaders of Abkhazia, Azerbaijan, Armenia, Belarus, Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, South Ossetia, Bolivia, Brazil, Hungary, Venezuela, Vietnam, India, China, Cuba, Nicaragua, Serbia, Syria, Turkey, as well as Berlusconi, Kocharyan, Nazarbayev, Sargsyan and Shroeder

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
5.0,"Рисовый блогер провёл эксперимент и выяснил, что если держать в руке кирпич, то водители останавливаются перед лужами.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Rice blogger conducted an experiment and found that if you hold a brick in your hand, drivers stop in front of puddles.

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
6.0,"Спина теперь точно болеть не будет

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","My back will definitely not hurt.

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
7.0,"**Настоящие герои** 💪

[👉🏻 Трогает за душу](https://t.me/trogaetdushu)","Real heroes!

[ ] Touches for the soul (https://t.me/trogaetdushu)",,
8.0,"Очередной треш с улиц Одессы: некий тип кидал в другого камни. В какой-то момент у второго сдали нервы и он выстрелил по каменщику, попав в лицо.","Another thrash from the streets of Odessa: a certain type threw stones at another. At some point, the second lost nerves and he shot at the mason, hitting the face.",Yes,A
9.0,"**Встреча заклятых друзей в неожиданном месте!

Киркоров не ожидал увидеть DAVA в Insight People!

Просто зашел в гости, решил отметить Новый Год с Тиной Канделаки, а там ОН!

Внезапно. Неловко вышло!**","A meeting of sworn friends in an unexpected place!

Kirkorov didn't expect to see DAVA in Insight People!

Just came to visit, decided to celebrate the New Year with Tina Kandelaki, and there he is!

Suddenly. That was awkward",,
,,,,
11.0,"**Тренд, который мы заслужили **👍

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","**The trend we deserve *****

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
12.0,"Кто ты, воин?

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Who are you, warrior?

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
13.0,Украинские ТГ-каналы публикуют видео пожара после вчерашнего удара по Харьковской подстанции,Ukrainian TG channels publish video of fire after yesterday's strike on Kharkiv substation,Yes,
14.0,"Предновогодняя суета в Киеве чуть женщину до инфаркта не довела.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","New Year's fuss in Kiev almost a woman to a heart attack did not bring.

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
15.0,"У деревни Горбаха Ивановского района Брестской области на месте падения украинской ракеты С-300 продолжаются следственные мероприятия

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","At the village of Gorbakh, Ivanovo district of Brest region at the site of the fall of the Ukrainian S-300 missile, investigative measures continue

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
16.0,"В Амурской области самый добрый дед мороз 😁

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","In the Amur region the kindest grandfather frost

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
17.0,"Жаль этого стримера...

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","I'm sorry about that streamer. . .

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
19.0,"В Магнитогорске толпа мужчин избила парня до потери сознания Очевидцы, сидевшие на лавочке, не стали вмешиваться, и потом просто занесли парня в подъезд. Полиция начала проверку.","In Magnitogorsk, a crowd of men beat the guy to unconscious Eyewitnesses sitting on a bench did not interfere, and then just brought the guy into the entrance. The police started a check.",Yes,
20.0,"**Рамзан Кадыров поотжимался после окончания ""прямой линии ""**

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","**Ramzan Kadyrov push-ups after the end of the ""straight line""**

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
21.0,"😅**Ничего необычного, просто Тесла в** **украинских реалиях стала ещё умнее

**Какие времена, такие и лайфхаки.

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Nothing unusual, just Tesla in the ** Ukrainian realities became even smarter

What times, such life hacks.

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
22.0,"Этиловый воин из Магнитогорска слишком рано начал отмечать НГ и обосрал лифт. На этом его мерзкие приключения не закончились — синяк **начал валяться в собственных экскрементах, после чего подрочил и уснул**.

Проснулся каловый дрочер после приезда полицейских

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","An ethyl warrior from Magnitogorsk started celebrating NG too early and shitted the elevator. His vile adventures did not end there - the bruise began to lie in his own excrement, after which he wanked and fell asleep.

Wake up a fecal jackass after the arrival of the police

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
23.0,"Талиб избивает девушку, протестующую против запрета на получение высшего образования.",The Taliban beat up a girl protesting a ban on higher education.,Yes,
24.0,"И где он не прав?

[🔞 Подписаться на Жесть Дня](https://t.me/zvoinaukraina)","Where's he wrong?

[е Subscribe to Gesture of the Day](https://t.me/zvoinaukraina)",,
