,Unnamed: 0,Index,Post,Trans,Label,Type,Severity,Confidence,Explanation
1200,1200,8201,"**США пытались помешать Украине убить начальника Генштаба РФ во время его визита в зону боевых действий, — **[**NYT

**](https://www.nytimes.com/interactive/2022/12/16/world/europe/russia-putin-war-failures-ukraine.html?fbclid=IwAR1stdBhRgWbcmwNfT6c01JQLJcTfirWrmbyL52-pZSQfuR9X0yP6ytSp7U)""Мы сказали: ""**Эй, это слишком**"". Сообщение поступило слишком поздно. **Украинские военные сообщили американцам, что они уже начали атаку на позиции генерала. Десятки россиян погибли** во время удара"", — заявил высокопоставленный американский чиновник. 

Однако** Герасимов в число погибших не вошёл**. После этого **руснявые военачальники сократили свои визиты на фронт.

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","The U.S. tried to prevent Ukraine from killing the head of Russia's General Staff during his visit to the conflict zone, according to the New York Times article ""Russia's War Failures and President Putin."" ""We said: 'Hey, this is too far.' The message came too late. Ukrainian military officials told the Americans that they had already begun an attack on the general's positions. Dozens of Russians died in the strike,"" a high-ranking U.S. official stated.

However, Gerasimov was not among the dead. Following this, Russian military commanders reduced their visits to the frontlines.

[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1201,1201,8202,"**Существует 2 типа людей...

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","There are 2 types of people...

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1202,1202,8203,"**Ничего необычного, просто мэр Белгород-Днестровского пытался автомобилем задавить сотрудников СБУ и прокуратуры, которые пришли вручать ему обвинительный акт** — [СМИ

](https://t.me/dumskaya_net/48482)Думская сообщает, что Граждан отказался принимать документы, **отбивался от правоохранителей, а потом попытался наехать** на них и **нанес кому-то телесные повреждения.** 

В СБУ также считают, что он **поставил под угрозу жизнь и здоровье несовершеннолетнего ребенка**, который в момент инцидента находился рядом.

""Весёленький"" мэр🤷🏻‍♂️

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**Nothing unusual, just the mayor of Belgorod-Dnestr attempted to run over employees of the SBU and the procurator's office who came to deliver him an indictment.** — Dumskaia reports that he refused to accept the documents, fought off law enforcement officers, and then tried to ram them, causing bodily harm to someone.

The SBU also believes that he **put the life and health of a child under threat**, who was nearby at the time of the incident.

""Cheerful"" mayor 🤷🏻‍♂️

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1203,1203,8204,"**Окопы под Бахмутом выглядят так. Русня лезет со всех щелей и теряет там сотни человек

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","The trenches around Bakhmut look like this. The Russians are pouring in from all sides and losing hundreds of people there.

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1204,1204,8205,"**Новогодняя ёлка будет: на Софийской площади в Киеве зажгли главную ёлку страны

**В этом году елка искусственная, высотой 12 метров. Она **украшена светящимися от генератора энергосберегающими гирляндами. Подсветка елки, скорее всего, будет происходить в определенные часы**. Также **рядом с генератором обустроят точки для подзарядки гаджетов.

**Елку украсили игрушками прошлых лет. Верхушку будет венчать герб Украины. **Нижняя часть елки будет оформлена стендами с флагами стран, помогающими Киеву справиться с вызовами и последствиями войны**.

Официальное открытие пройдёт 19 декабря.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","The New Year tree will be:
In Sofia Square in Kyiv, they lit the country's main tree.

This year's tree is artificial, standing at 12 meters tall. It is adorned with energy-saving LED garlands powered by a generator. The lighting of the tree is likely to occur at specific times. Also, charging points for gadgets will be set up near the generator.

The tree is decorated with toys from previous years. The top will be crowned with Ukraine's coat of arms. The lower part of the tree will feature stands with flags of countries supporting Kyiv in overcoming challenges and the consequences of the war.

The official opening will take place on December 19.

[Informant](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1205,1205,8206,"**⚡️Россия получила новую партию ""Шахедов"", — **[**разведка

**](https://www.pravda.com.ua/rus/news/2022/12/17/7381203/)По словам Юсова, эта **партия меньше, чем ранее РФ получала от Ирана**. В то же время по данным ГУР, по состоянию на сейчас Россия **ещё не получила баллистические ракеты.

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**⚡️Russia has received a new batch of Shaheds, according to intelligence.** This batch is smaller than the previous one Russia received from Iran. At the same time, as per the GUR (General Staff's Main Intelligence Directorate), Russia has yet to receive ballistic missiles.

**[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)**",,,,,
1206,1206,8207,"**100 тысяч долларов с трубой. Теперь вы видели всё

**Гиркин уже стал ходячим мемом.

[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**$100,000 with the pipe. Now you've seen it all.**

Girkin has already become a walking meme.

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1207,1207,8208,"**Внезапное фаер-шоу в российском Владивостоке. Горят склады. Огонь охватил уже две тысячи квадратов

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","**Sudden fireworks show in Russian Vladivostok. Warehouses are burning. The fire has already spread over two thousand square meters.**

[Source](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1208,1208,8209,"**""Когда закончится война?"", — некоторые россияне протрезвели и задали бы Путину при встрече именно этот вопрос🤔

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","""When will the war end?"" — some Russians have sobered up and would ask Putin this question specifically at their meeting, wonderingly.

[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
1209,1209,8210,"**Рада приняла законопроект, усиливающий уголовную ответственность военнослужащих за невыполнение приказов руководства

**Так,** вырастут сроки наказания за военные преступления** и административные правонарушения, например, за** распитие военными алкогольных напитков.** Также, **судам запретят смягчать наказание или давать условные сроки для военных, осужденных за**:
▪️неповиновение (ст. 402),
▪️неисполнение приказа (ст.403),
▪️угрозы или насилие в отношении начальника (ст.405),
▪️самовольное оставление воинской части (ст.407),
▪️дезертирство (ст.408),
▪️самовольное оставление поля боя (ст. 429).

К слову, хоть некоторые пытаются бойкотировать законопроект, **ВСУ его поддерживают. 

**[Информатор](https://t.me/+LV7tr2_vgu02NjAy) | [Подписаться](https://t.me/+LV7tr2_vgu02NjAy)","The parliament adopted a bill that strengthens criminal liability for military personnel who fail to comply with orders from their superiors.

**Thus,** the terms of punishment for military crimes and administrative offenses will increase, such as for military personnel drinking alcohol. Additionally, courts will be prohibited from reducing sentences or issuing suspended sentences for military personnel convicted of:
- disobedience (Article 402),
- failure to execute an order (Article 403),
- threats or violence against a superior (Article 405),
- desertion (Article 408),
- unauthorized absence from a military unit (Article 407),
- fleeing the battlefield (Article 429).

By the way, despite some attempts to boycott the bill, the Ukrainian Armed Forces support it.

**[Informer](https://t.me/+LV7tr2_vgu02NjAy) | [Subscribe](https://t.me/+LV7tr2_vgu02NjAy)",,,,,
